"","name","gender","instType","country","lead","degOut","degIn"
"158","GonçalvesM",NA,NA,NA,"N",NA,1
"159","GonzálezGándaraC",NA,NA,NA,"N",NA,1
"160","GonzálezPeralU",NA,NA,NA,"N",NA,1
"161","GrandiM","Female","Government","Argentina","Y",5,NA
"162","GrochK","Female","University","Brazil","Y",4,NA
"163","GurjãoL","Male","University","Brazil","Y",5,NA
"164","GutsteinC",NA,NA,NA,"N",NA,1
"165","HaaseB",NA,NA,NA,"N",NA,1
"166","HardtF","Male","University","Brazil","Y",3,NA
"167","HasselL","Male","Government","Brazil","Y",5,1
"168","HeckelG",NA,NA,NA,"N",NA,1
"169","HeimeierD",NA,NA,NA,"N",NA,1
"170","HerediaS",NA,NA,NA,"N",NA,1
"171","HernándezAranaH",NA,NA,NA,"N",NA,1
"172","HerreraJ",NA,NA,NA,"N",NA,1
"173","HeviaM",NA,NA,NA,"N",NA,1
"174","HigaA","Female","University","Brazil","Y",2,NA
"175","HingstZaherE",NA,NA,NA,"N",NA,2
"176","HiriartL",NA,NA,NA,"N",NA,1
"177","HubnerA",NA,NA,NA,"N",NA,1
"178","IñíguezM","Male","NGO","Argentina","Y",4,2
"179","JáureguiA",NA,NA,NA,"N",NA,1
"180","JeffersonT","Male","Government","USA","Y",3,NA
"181","JiménezPinedoC",NA,NA,NA,"N",NA,1
"182","KerrI",NA,NA,NA,"N",NA,1
"183","KieckheferT",NA,NA,NA,"N",NA,1
"184","KinasP","Male","University","Brazil","Y",7,3
"185","LabradaMartagónV","Female","University","México","Y",2,NA
"186","LaetaM","Female","Government","Brazil","Y",2,2
"187","LailsonBritoJ","Male","University","Brazil","Y",5,5
"188","LaportaP","Female","University","Uruguay","Y",3,1
"189","LarkinK",NA,NA,NA,"N",NA,1
"190","LarkinS",NA,NA,NA,"N",NA,1
"191","LassoG",NA,NA,NA,"N",NA,1
"192","LázaroM",NA,NA,NA,"N",NA,2
"193","LeBasA","Male","University","Uruguay","Y",NA,2
"194","LemosL",NA,NA,NA,"N",NA,1
"195","LiaV",NA,NA,NA,"N",NA,1
"196","LienJ",NA,NA,NA,"N",NA,1
"197","LimaD","Female","University","Brazil","Y",3,NA
"198","LimaN",NA,NA,NA,"N",NA,2
"199","LimaR",NA,NA,NA,"N",NA,1
"200","LittleV",NA,NA,NA,"N",NA,1
"201","LluchBeldaD",NA,NA,NA,"N",NA,1
"202","LodiL",NA,NA,NA,"N",NA,1
"203","LópezP",NA,NA,NA,"N",NA,1
"204","LoureiroJ",NA,NA,NA,"N",NA,1
"205","MachadoR",NA,NA,NA,"N",NA,1
"206","MagalhãesF","Female","Government","Brazil","Y",3,2
"207","MahlerB",NA,NA,NA,"N",NA,1
"208","MaiaD",NA,NA,NA,"N",NA,1
"209","MaiaNogueiraR","Male","NGO","Brazil","Y",1,1
"210","MalmO",NA,NA,NA,"N",NA,1
"211","MarigoJ","Female","NGO","Brazil","Y",5,5
"212","MarmontelM",NA,NA,NA,"N",NA,2
"213","MarquesF",NA,NA,NA,"N",NA,1
"214","MartinA",NA,NA,NA,"N",NA,1
"215","MartínezDíazS",NA,NA,NA,"N",NA,1
"216","MartinezP",NA,NA,NA,"N",NA,1
"217","MartinsA","Female","NGO","Brazil","Y",3,NA
"218","MartinsC",NA,NA,NA,"N",NA,2
"219","MattosG",NA,NA,NA,"N",NA,2
"220","MattosP","Male","University","Brazil","Y",2,NA
"221","MayColladoL","Female","University","PuertoRico","Y",1,1
"222","McGuireT","Female","University","USA","Y",NA,1
"223","MeirellesA","Female","NGO","Brazil","Y",4,3
"224","MejíaFajardoA",NA,NA,NA,"N",NA,1
"225","MelloD","Female","Government","Brazil","Y",2,NA
"226","MendezM",NA,NA,NA,"N",NA,1
"227","MeneghetiJ",NA,NA,NA,"N",NA,1
"228","MerlenG",NA,NA,NA,"N",NA,1
"229","MesnickS",NA,NA,NA,"N",NA,2
"230","MignucciGiannoniA","Male","University","PuertoRico","Y",2,NA
"231","MolinaSchillerD","Female","University","Brazil","Y",5,NA
"232","MonteiroD",NA,NA,NA,"N",NA,1
"233","MonteiroFilhoE",NA,NA,NA,"N",NA,2
"234","MonteiroM","Female","University","Brazil","Y",3,NA
"235","MontesD",NA,NA,NA,"N",NA,1
"236","MontielVillalobosM",NA,NA,NA,"N",NA,3
"237","MontoneR",NA,NA,NA,"N",NA,1
"238","MontoyaOspinaR",NA,NA,NA,"N",NA,1
"239","MonzónF",NA,NA,NA,"N",NA,1
"240","MoragaR",NA,NA,NA,"N",NA,1
"241","MoralesVelaB",NA,NA,NA,"N",NA,1
"242","MorenoI","Male","NGO","Brazil","Y",8,4
"243","MorenoJ",NA,NA,NA,"N",NA,1
"244","MorenoV",NA,NA,NA,"N",NA,1
"245","MoreteM","Female","NGO","Brazil","Y",4,NA
"246","MorganteJ",NA,NA,NA,"N",NA,1
"247","MorónS",NA,NA,NA,"N",NA,1
"248","MottaM","Female","NGO","Brazil","Y",1,1
"249","MouraJ","Male","Government","Brazil","Y",1,1
"250","MouraL",NA,NA,NA,"N",NA,1
"251","MuelbertM","Female","University","Brazil","Y",1,3
"252","MunizPereiraL",NA,NA,NA,"N",NA,1
"253","NavarreteS",NA,NA,NA,"N",NA,1
"254","NayaD",NA,NA,NA,"N",NA,1
"255","NegriM",NA,NA,NA,"N",NA,2
"256","NettoD",NA,NA,NA,"N",NA,1
"257","NettoR","Male","NGO","Brazil","Y",1,NA
"258","NunesJ",NA,NA,NA,"N",NA,1
"259","OlavarríaC",NA,NA,NA,"N",NA,1
"260","OliveiraG","Male","University","Brazil","Y",2,NA
"261","OliveiraL","Female","University","Brazil","Y",5,4
"262","OliveiraM",NA,NA,NA,"N",NA,2
"263","OllervidesF",NA,NA,NA,"N",NA,1
"264","OlsonP",NA,NA,NA,"N",NA,1
"265","OlssonP",NA,NA,NA,"N",NA,1
"266","OntónK",NA,NA,NA,"N",NA,1
"267","OttP","Male","NGO","Brazil","Y",12,5
"268","PaceR",NA,NA,NA,"N",NA,1
"269","PachecoA","Male","University","Chile","Y",2,NA
"270","PacíficoE",NA,NA,NA,"N",NA,1
"271","PadillaSaldivarJ",NA,NA,NA,"N",NA,1
"272","PalaciosD","Male","University","USA","Y",2,5
"273","PalavecinoP",NA,NA,NA,"N",NA,1
"274","PalazzoJ",NA,NA,NA,"N",NA,1
"275","ParadaI",NA,NA,NA,"N",NA,1
"276","PardoM","Male","University","México","Y",8,NA
"277","ParenteC","Male","Other","Brazil","Y",2,NA
"278","PassadoreC",NA,NA,NA,"N",NA,1
"279","PaszkiewiczE",NA,NA,NA,"N",NA,1
"280","PayneR",NA,NA,NA,"N",NA,1
"281","PérezAlvarezM",NA,NA,NA,"N",NA,1
"282","PérezCortésH",NA,NA,NA,"N",2,NA
"283","PérezF",NA,NA,NA,"N",NA,1
"284","PerezJ",NA,NA,NA,"N",NA,1
"285","PiedraM",NA,NA,NA,"N",NA,1
"286","PinedoM",NA,NA,NA,"N",NA,3
"287","PinosL",NA,NA,NA,"N",NA,1
"288","PintoR","Male","Government","Brazil","Y",3,NA
"289","PoolM",NA,NA,NA,"N",NA,1
"290","PortocarreroAyaM",NA,NA,NA,"N",NA,1
"291","PraderiR",NA,NA,NA,"N",NA,3
"292","QueirózH",NA,NA,NA,"N",NA,1
"293","RamosR","Female","Other","Brazil","Y",21,6
"294","RangelM",NA,NA,NA,"N",NA,1
"295","ReyesJ",NA,NA,NA,"N",NA,2
"296","ReynoldsJ",NA,NA,NA,"N",NA,1
"297","RibeiroA",NA,NA,NA,"N",NA,1
"298","RichlenM",NA,NA,NA,"N",NA,1
"299","RitterR",NA,NA,NA,"N",NA,1
"300","RiveroL",NA,NA,NA,"N",NA,1
"301","RocaM",NA,NA,NA,"N",NA,1
"302","RochaA",NA,NA,NA,"N",NA,1
"303","RochaC",NA,NA,NA,"N",NA,1
"304","RochaJ",NA,NA,NA,"N",NA,1
"305","RodriguesA",NA,NA,NA,"N",NA,1
"306","RodriguesE",NA,NA,NA,"N",NA,1
"307","RodríguezD","Male","University","Argentina","Y",8,2
"308","RojasBrachoL",NA,NA,NA,"N",NA,1
"309","RosalesS",NA,NA,NA,"N",NA,1
"310","RosasF","Male","Government","Brazil","Y",8,3
"311","RossiSantosM","Male","NGO","Brazil","Y",4,4
"312","RossoC",NA,NA,NA,"N",NA,1
"313","RossoS",NA,NA,NA,"N",NA,1
"314","RowlettR",NA,NA,NA,"N",NA,1
"315","RubioCisnerosN","Female","Government","México","Y",6,NA
"316","RuoppoloV",NA,NA,NA,"N",NA,1
"317","SalazarS",NA,NA,NA,"N",NA,1
"318","SaldanhaM",NA,NA,NA,"N",NA,1
"319","SalinasC",NA,NA,NA,"N",NA,1
"320","SalvadeoC","Male","University","México","Y",3,NA
"321","SanctisB",NA,NA,NA,"N",NA,1
"322","SanfeliceD","Female","University","Brazil","Y",1,1
"323","SaninoG",NA,NA,NA,"N",NA,3
"324","SantillánL","Male","NGO","Perú","Y",4,NA
"325","SantosF",NA,NA,NA,"N",NA,2
"326","SantosM","Male","University","Brazil","Y",25,6
"327","SantosR",NA,NA,NA,"N",NA,1
"328","SantosW",NA,NA,NA,"N",NA,1
"329","SaubidetA",NA,NA,NA,"N",NA,1
"330","SayeghA",NA,NA,NA,"N",NA,1
"331","SchaefferY",NA,NA,NA,"N",NA,1
"332","SchrammY",NA,NA,NA,"N",NA,2
"333","SecchiE","Male","University","Brazil","Y",15,10
"334","SepúlvedaM","Female","NGO","Chile","Y",3,NA
"335","SequeiraM",NA,NA,NA,"N",NA,1
"336","SerranoA","Male","University","México","Y",2,NA
"337","SicilianoS",NA,NA,NA,"N",NA,14
"338","SilvaC",NA,NA,NA,"N",NA,2
"339","SilvaE",NA,NA,NA,"N",NA,1
