"","from","to"
"519","MarigoJ","DiasR"
"687","MarigoJ","CatãoDiasJ"
"59","MartinsA","AlvesT"
"227","MartinsA","FurtadoNetoM"
"395","MartinsA","LienJ"
"121","MattosP","DallaRosaL"
"289","MattosP","FruetP"
"160","MayColladoL","WartzokD"
"52","MeirellesA","FurtadoNetoM"
"155","MeirellesA","RibeiroA"
"323","MeirellesA","SilvaC"
"491","MeirellesA","SoaresFilhoA"
"141","MelloD","daSilvaV"
"309","MelloD","MartinA"
"25","MignucciGiannoniA","MontoyaOspinaR"
"193","MignucciGiannoniA","VelascoEscuderoM"
"45","MolinaSchillerD","PinedoM"
"55","MolinaSchillerD","PinedoM"
"56","MolinaSchillerD","PinedoM"
"80","MolinaSchillerD","RosalesS"
"248","MolinaSchillerD","FreitasT"
"106","MonteiroM","VaskeT"
"274","MonteiroM","BarbosaT"
"442","MonteiroM","AlvesM"
"29","MorenoI","DanilewiczD"
"43","MorenoI","MartinsC"
"197","MorenoI","BorgesMartinsM"
"211","MorenoI","AndrioloA"
"365","MorenoI","OttP"
"379","MorenoI","EngelM"
"533","MorenoI","CaonG"
"701","MorenoI","OliveiraL"
"27","MoreteM","PaceR"
"195","MoreteM","MartinsC"
"363","MoreteM","FreitasA"
"531","MoreteM","EngelM"
"84","MottaM","SilvaC"
"114","MouraJ","SicilianoS"
"94","MuelbertM","OliveiraL"
"33","NettoR","BarbosaL"
"120","OliveiraG","BarcellosJ"
"288","OliveiraG","RosasF"
"67","OliveiraL","HingstZaherE"
"107","OliveiraL","MachadoR"
"235","OliveiraL","MorganteJ"
"275","OliveiraL","AlieviM"
"443","OliveiraL","WurdigN"
"8","OttP","SecchiE"
"176","OttP","MorenoI"
"344","OttP","DanilewiczD"
"512","OttP","CrespoE"
"680","OttP","BordinoP"
"848","OttP","RamosR"
"1016","OttP","DiBenedittoA"
"1184","OttP","BertozziC"
"1352","OttP","BastidaR"
"1520","OttP","ZanelattoR"
"1688","OttP","PerezJ"
"1856","OttP","KinasP"
"131","PachecoA","SilvaS"
"299","PachecoA","AlcortaB"
"58","PalaciosD","SalazarS"
"226","PalaciosD","DayD"
"105","PardoM","PalaciosD"
"135","PardoM","MejíaFajardoA"
"136","PardoM","JiménezPinedoC"
"303","PardoM","BeltránPedrerosS"
"304","PardoM","PalaciosD"
"471","PardoM","TrujilloF"
"639","PardoM","KerrI"
"807","PardoM","PalaciosD"
"50","ParenteC","VergaraParenteJ"
"218","ParenteC","LimaR"
"97","PérezCortésH","BarreraA"
"265","PérezCortésH","OllervidesF"
"62","PintoR","MunizPereiraL"
"230","PintoR","AlvesV"
"398","PintoR","SicilianoS"
"17","RamosR","DiBenedittoA"
"161","RamosR","DiBenedittoA"
"185","RamosR","SicilianoS"
"329","RamosR","SicilianoS"
"353","RamosR","SantosM"
"497","RamosR","SantosM"
"521","RamosR","ZerbiniA"
"665","RamosR","ZerbiniA"
"689","RamosR","BertozziC"
"833","RamosR","VicenteA"
"857","RamosR","VicenteA"
"1001","RamosR","ZampirolliE"
"1025","RamosR","ZampirolliE"
"1169","RamosR","AlvarengaF"
"1193","RamosR","AlvarengaF"
"1337","RamosR","FragosoA"
"1361","RamosR","LimaN"
"1505","RamosR","LailsonBritoJ"
"1673","RamosR","AzevedoA"
"1841","RamosR","BarbosaL"
"2009","RamosR","LimaN"
"12","RodríguezD","RiveroL"
"16","RodríguezD","BastidaR"
"31","RodríguezD","BastidaR"
"180","RodríguezD","BastidaR"
"184","RodríguezD","OlssonP"
"199","RodríguezD","MorónS"
"367","RodríguezD","HerediaS"
"535","RodríguezD","LoureiroJ"
"20","RosasF","MonteiroFilhoE"
"42","RosasF","MattosG"
"93","RosasF","RochaC"
"152","RosasF","MarigoJ"
"188","RosasF","OliveiraM"
"261","RosasF","MattosG"
"320","RosasF","LaetaM"
"488","RosasF","RossiSantosM"
"88","RossiSantosM","WedekinL"
"157","RossiSantosM","WedekinL"
"256","RossiSantosM","SousaLimaR"
"325","RossiSantosM","MonteiroFilhoE"
"104","RubioCisnerosN","MesnickS"
"272","RubioCisnerosN","VázquezJuárezR"
"440","RubioCisnerosN","UrbánRamírezJ"
"608","RubioCisnerosN","GodardC"
"776","RubioCisnerosN","PayneR"
"944","RubioCisnerosN","DizonA"
"130","SalvadeoC","GómezGallardoA"
"298","SalvadeoC","LluchBeldaD"
"466","SalvadeoC","UrbánRamírezJ"
"119","SanfeliceD","FreitasT"
"53","SantillánL","RocaM"
"221","SantillánL","ApazaM"
"389","SantillánL","OliveiraL"
"557","SantillánL","OntónK"
"21","SantosM","VicenteA"
"72","SantosM","NettoD"
"110","SantosM","RossoS"
"117","SantosM","PacíficoE"
"143","SantosM","DittE"
"147","SantosM","OlavarríaC"
"150","SantosM","CremerM"
"167","SantosM","CampolimM"
"189","SantosM","ZampirolliE"
"285","SantosM","GonçalvesM"
"315","SantosM","BorobiaM"
"318","SantosM","SecchiE"
"335","SantosM","ParadaI"
"357","SantosM","AlvarengaF"
"483","SantosM","CaballeroS"
"486","SantosM","FlachL"
"503","SantosM","DunkerP"
"525","SantosM","SouzaSP"
"651","SantosM","SecchiE"
"654","SantosM","FillaG"
"671","SantosM","SilvaE"
"819","SantosM","SicilianoS"
"822","SantosM","HubnerA"
"987","SantosM","PalaciosD"
"990","SantosM","DussánDuqueS"
"1","SecchiE","SicilianoS"
"3","SecchiE","OttP"
"7","SecchiE","DanilewiczD"
"23","SecchiE","WangJ"
"39","SecchiE","BarcellosL"
"49","SecchiE","KinasP"
"171","SecchiE","DanilewiczD"
"175","SecchiE","OttP"
"207","SecchiE","ZerbiniA"
"217","SecchiE","MuelbertM"
"343","SecchiE","RamosR"
"375","SecchiE","DallaRosaL"
"511","SecchiE","LázaroM"
"679","SecchiE","MarigoJ"
"847","SecchiE","WangJ"
"126","SepúlvedaM","PérezAlvarezM"
"294","SepúlvedaM","LópezP"
"462","SepúlvedaM","MoragaR"
"115","SerranoA","GarcíaJiménezA"
"283","SerranoA","GonzálezGándaraC"
"60","SimõesLopesP","GutsteinC"
"148","SoléCavaA","CaballeroS"
"316","SoléCavaA","BonvicinoC"
"484","SoléCavaA","CorreaT"
"652","SoléCavaA","MorenoI"
"820","SoléCavaA","FloresP"
"95","SonninoSorisioL","DeMaddalenaA"
"263","SonninoSorisioL","VisserI"
"146","SoutoL","LemosL"
"314","SoutoL","ViolanteT"
"482","SoutoL","MaiaNogueiraR"
"78","SouzaSP","SicilianoS"
"246","SouzaSP","CuencaS"
"414","SouzaSP","SanctisB"
"82","SuarezA","SanfeliceD"
"250","SuarezA","CassiniM"
"418","SuarezA","CappozzoH"
"57","SzterenD","NayaD"
"225","SzterenD","ArimM"
"92","TrimbleM","PraderiR"
"111","UrbánRamírezJ","CárdenasHinojosaG"
"279","UrbánRamírezJ","GómezGallardoA"
"447","UrbánRamírezJ","GonzálezPeralU"
"615","UrbánRamírezJ","DelToroOrozcoW"
"783","UrbánRamírezJ","BrownellR"
"85","UtrerasV","SuárezE"
"253","UtrerasV","ZapataRíosG"
"421","UtrerasV","LassoG"
"589","UtrerasV","PinosL"
"91","VanBressemM","VanWaerebeekK"
"108","VanBressemM","VanWaerebeekK"
"259","VanBressemM","BennettM"
"276","VanBressemM","ReyesJ"
"444","VanBressemM","FélixF"
"612","VanBressemM","EchegarayM"
"780","VanBressemM","SicilianoS"
"948","VanBressemM","DiBenedittoA"
"1116","VanBressemM","FlachL"
"1284","VanBressemM","ViddiF"
"1452","VanBressemM","AvilaI"
"1620","VanBressemM","HerreraJ"
"1788","VanBressemM","TobónI"
"1956","VanBressemM","BolañosJiménezJ"
"2124","VanBressemM","MorenoI"
"2292","VanBressemM","OttP"
"2460","VanBressemM","SaninoG"
"2628","VanBressemM","CastineiraE"
"2796","VanBressemM","MontesD"
"2964","VanBressemM","CrespoE"
"3132","VanBressemM","FloresP"
"3300","VanBressemM","HaaseB"
"3468","VanBressemM","SouzaSM"
"3636","VanBressemM","LaetaM"
"3804","VanBressemM","FragosoA"
"90","VanWaerebeekK","SequeiraM"
"109","VanWaerebeekK","BakerA"
"258","VanWaerebeekK","WilliamsonC"
"277","VanWaerebeekK","FélixF"
"426","VanWaerebeekK","SaninoG"
"445","VanWaerebeekK","GedamkeJ"
"594","VanWaerebeekK","GallegoP"
"613","VanWaerebeekK","IñíguezM"
"762","VanWaerebeekK","CarmoP"
"781","VanWaerebeekK","SaninoG"
"949","VanWaerebeekK","SecchiE"
"1117","VanWaerebeekK","SutariaD"
"1285","VanWaerebeekK","vanHeldenA"
"1453","VanWaerebeekK","WangY"
"98","WedekinL","DauraJorgeF"
"266","WedekinL","SimõesLopesP"
"22","WeiskelH","BordinoP"
"190","WeiskelH","AriasA"
"112","YatesO","BlackA"
"280","YatesO","PalavecinoP"
"54","ZapataRíosG","UtrerasV"
